region_id,region_name,period_begin,period_end,duration,median_sale_price
41884,"San Francisco, CA metro area",09-07-2018,15-07-2018,1 weeks,1425000
41884,"San Francisco, CA metro area",16-07-2018,22-07-2018,1 weeks,1400000
41884,"San Francisco, CA metro area",23-07-2018,29-07-2018,1 weeks,1374000
41884,"San Francisco, CA metro area",30-07-2018,05-08-2018,1 weeks,1462500
41884,"San Francisco, CA metro area",06-08-2018,12-08-2018,1 weeks,1390000
41884,"San Francisco, CA metro area",13-08-2018,19-08-2018,1 weeks,1444500
41884,"San Francisco, CA metro area",20-08-2018,26-08-2018,1 weeks,1305000
41884,"San Francisco, CA metro area",27-08-2018,02-09-2018,1 weeks,1300000
41884,"San Francisco, CA metro area",03-09-2018,09-09-2018,1 weeks,1386500
41884,"San Francisco, CA metro area",10-09-2018,16-09-2018,1 weeks,1397000
41884,"San Francisco, CA metro area",17-09-2018,23-09-2018,1 weeks,1515000
41884,"San Francisco, CA metro area",24-09-2018,30-09-2018,1 weeks,1500000
41884,"San Francisco, CA metro area",01-10-2018,07-10-2018,1 weeks,1450000
41884,"San Francisco, CA metro area",08-10-2018,14-10-2018,1 weeks,1350000
41884,"San Francisco, CA metro area",15-10-2018,21-10-2018,1 weeks,1354000
41884,"San Francisco, CA metro area",22-10-2018,28-10-2018,1 weeks,1420000
41884,"San Francisco, CA metro area",29-10-2018,04-11-2018,1 weeks,1350000
41884,"San Francisco, CA metro area",05-11-2018,11-11-2018,1 weeks,1365000
41884,"San Francisco, CA metro area",12-11-2018,18-11-2018,1 weeks,1327500
41884,"San Francisco, CA metro area",19-11-2018,25-11-2018,1 weeks,1355000
41884,"San Francisco, CA metro area",26-11-2018,02-12-2018,1 weeks,1342000
41884,"San Francisco, CA metro area",03-12-2018,09-12-2018,1 weeks,1300000
41884,"San Francisco, CA metro area",10-12-2018,16-12-2018,1 weeks,1375000
41884,"San Francisco, CA metro area",17-12-2018,23-12-2018,1 weeks,1360000
41884,"San Francisco, CA metro area",24-12-2018,30-12-2018,1 weeks,1360500
41884,"San Francisco, CA metro area",31-12-2018,06-01-2019,1 weeks,1275000
41884,"San Francisco, CA metro area",07-01-2019,13-01-2019,1 weeks,1265000
41884,"San Francisco, CA metro area",14-01-2019,20-01-2019,1 weeks,1159000
41884,"San Francisco, CA metro area",21-01-2019,27-01-2019,1 weeks,1339500
41884,"San Francisco, CA metro area",28-01-2019,03-02-2019,1 weeks,1200000
41884,"San Francisco, CA metro area",04-02-2019,10-02-2019,1 weeks,1315000
41884,"San Francisco, CA metro area",11-02-2019,17-02-2019,1 weeks,1250000
41884,"San Francisco, CA metro area",18-02-2019,24-02-2019,1 weeks,1345000
41884,"San Francisco, CA metro area",25-02-2019,03-03-2019,1 weeks,1275000
41884,"San Francisco, CA metro area",04-03-2019,10-03-2019,1 weeks,1430000
41884,"San Francisco, CA metro area",11-03-2019,17-03-2019,1 weeks,1333500
41884,"San Francisco, CA metro area",18-03-2019,24-03-2019,1 weeks,1535000
41884,"San Francisco, CA metro area",25-03-2019,31-03-2019,1 weeks,1380000
41884,"San Francisco, CA metro area",01-04-2019,07-04-2019,1 weeks,1400000
41884,"San Francisco, CA metro area",08-04-2019,14-04-2019,1 weeks,1500000
41884,"San Francisco, CA metro area",15-04-2019,21-04-2019,1 weeks,1400000
41884,"San Francisco, CA metro area",22-04-2019,28-04-2019,1 weeks,1442500
41884,"San Francisco, CA metro area",29-04-2019,05-05-2019,1 weeks,1450000
41884,"San Francisco, CA metro area",06-05-2019,12-05-2019,1 weeks,1582000
41884,"San Francisco, CA metro area",13-05-2019,19-05-2019,1 weeks,1425000
41884,"San Francisco, CA metro area",20-05-2019,26-05-2019,1 weeks,1507500
41884,"San Francisco, CA metro area",27-05-2019,02-06-2019,1 weeks,1496000
41884,"San Francisco, CA metro area",03-06-2019,09-06-2019,1 weeks,1460000
41884,"San Francisco, CA metro area",10-06-2019,16-06-2019,1 weeks,1505000
41884,"San Francisco, CA metro area",17-06-2019,23-06-2019,1 weeks,1425000
41884,"San Francisco, CA metro area",24-06-2019,30-06-2019,1 weeks,1450000
41884,"San Francisco, CA metro area",01-07-2019,07-07-2019,1 weeks,1450000
41884,"San Francisco, CA metro area",08-07-2019,14-07-2019,1 weeks,1431250
41884,"San Francisco, CA metro area",15-07-2019,21-07-2019,1 weeks,1445000
41884,"San Francisco, CA metro area",22-07-2019,28-07-2019,1 weeks,1365000
41884,"San Francisco, CA metro area",29-07-2019,04-08-2019,1 weeks,1500000
41884,"San Francisco, CA metro area",05-08-2019,11-08-2019,1 weeks,1429500
41884,"San Francisco, CA metro area",12-08-2019,18-08-2019,1 weeks,1295000
41884,"San Francisco, CA metro area",19-08-2019,25-08-2019,1 weeks,1380000
41884,"San Francisco, CA metro area",26-08-2019,01-09-2019,1 weeks,1335000
41884,"San Francisco, CA metro area",02-09-2019,08-09-2019,1 weeks,1325000
41884,"San Francisco, CA metro area",09-09-2019,15-09-2019,1 weeks,1400000
41884,"San Francisco, CA metro area",16-09-2019,22-09-2019,1 weeks,1360000
41884,"San Francisco, CA metro area",23-09-2019,29-09-2019,1 weeks,1350000
41884,"San Francisco, CA metro area",30-09-2019,06-10-2019,1 weeks,1450000
41884,"San Francisco, CA metro area",07-10-2019,13-10-2019,1 weeks,1520000
41884,"San Francisco, CA metro area",14-10-2019,20-10-2019,1 weeks,1397500
41884,"San Francisco, CA metro area",21-10-2019,27-10-2019,1 weeks,1380000
41884,"San Francisco, CA metro area",28-10-2019,03-11-2019,1 weeks,1362500
41884,"San Francisco, CA metro area",04-11-2019,10-11-2019,1 weeks,1466000
41884,"San Francisco, CA metro area",11-11-2019,17-11-2019,1 weeks,1385000
41884,"San Francisco, CA metro area",18-11-2019,24-11-2019,1 weeks,1389000
41884,"San Francisco, CA metro area",25-11-2019,01-12-2019,1 weeks,1273500
41884,"San Francisco, CA metro area",02-12-2019,08-12-2019,1 weeks,1400000
41884,"San Francisco, CA metro area",09-12-2019,15-12-2019,1 weeks,1295000
41884,"San Francisco, CA metro area",16-12-2019,22-12-2019,1 weeks,1335000
41884,"San Francisco, CA metro area",23-12-2019,29-12-2019,1 weeks,1261000
41884,"San Francisco, CA metro area",30-12-2019,05-01-2020,1 weeks,1264000
41884,"San Francisco, CA metro area",06-01-2020,12-01-2020,1 weeks,1325000
41884,"San Francisco, CA metro area",13-01-2020,19-01-2020,1 weeks,1260000
41884,"San Francisco, CA metro area",20-01-2020,26-01-2020,1 weeks,1400500
41884,"San Francisco, CA metro area",27-01-2020,02-02-2020,1 weeks,1265000
41884,"San Francisco, CA metro area",03-02-2020,09-02-2020,1 weeks,1260000
41884,"San Francisco, CA metro area",10-02-2020,16-02-2020,1 weeks,1410000
41884,"San Francisco, CA metro area",17-02-2020,23-02-2020,1 weeks,1450000
41884,"San Francisco, CA metro area",24-02-2020,01-03-2020,1 weeks,1400000
41884,"San Francisco, CA metro area",02-03-2020,08-03-2020,1 weeks,1460000
41884,"San Francisco, CA metro area",09-03-2020,15-03-2020,1 weeks,1470000
41884,"San Francisco, CA metro area",16-03-2020,22-03-2020,1 weeks,1445000
41884,"San Francisco, CA metro area",23-03-2020,29-03-2020,1 weeks,1394440
41884,"San Francisco, CA metro area",30-03-2020,05-04-2020,1 weeks,1450000
41884,"San Francisco, CA metro area",06-04-2020,12-04-2020,1 weeks,1562000
41884,"San Francisco, CA metro area",13-04-2020,19-04-2020,1 weeks,1510000
41884,"San Francisco, CA metro area",20-04-2020,26-04-2020,1 weeks,1359000
41884,"San Francisco, CA metro area",27-04-2020,03-05-2020,1 weeks,1381000
